Date received,Product,Sub-product,Issue,Complaint list,Company,State,Tags,Date sent,Company response,Timely response,Consumer disputed,Date difference(%)
29-12-2016,Debt collection,Non-federal student loan,Disclosure verification of debt,Acted by contract/law,"Kramer & Frank, P.C.",MO,Servicemember,29-12-2016,Closed with non-monetary relief,Yes,No,0
30-03-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Amsher Collection Services, Inc.",NY,Servicemember,30-03-2017,Closed with explanation,Yes,No,0
08-04-2017,Debt collection,Medical,Improper contact or sharing of info,Acted by contract/law,TENET HEALTHCARE CORPORATION,AL,Servicemember,08-04-2017,Closed with explanation,Yes,No,0
29-03-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,"SELECT PORTFOLIO SERVICING, INC.",PA,"Older American, Servicemember",05-04-2017,Closed with explanation,Yes,No,27.69
13-03-2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,Company can't verify or dispute the facts in the complaint,"Parnell & Parnell, PA",SC,Older American,13-03-2017,Closed with explanation,No,No,0
08-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"MARINER FINANCE, LLC",NC,Servicemember,10-04-2017,Closed with explanation,Yes,No,7.92
04-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"Credit Protection Association, L.P.",CA,Servicemember,04-04-2017,Closed with explanation,Yes,No,0
29-11-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,Misunderstanding,Critical Resolution Mediation LLC,TN,Servicemember,09-02-2017,Closed with explanation,No,No,284.9
27-03-2017,Debt collection,Federal student loan,Disclosure verification of debt,Third party action,"Account Control Technology, Inc.",NC,Older American,27-03-2017,Closed with explanation,Yes,No,0
18-06-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Company can't verify or dispute the facts in the complaint,"Paypal Holdings, Inc",FL,Older American,18-06-2015,Closed,Yes,Yes,0
27-03-2017,Debt collection,Credit card,Communication tactics,responds  only to consumer,ENCORE CAPITAL GROUP INC.,GA,"Older American, Servicemember",27-03-2017,Closed with non-monetary relief,Yes,No,0
06-10-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Acted by contract/law,"Harris & Harris, Ltd.",IL,Servicemember,06-10-2015,Closed with explanation,Yes,No,0
29-07-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,Linebarger Goggan Blair & Sampson LLP,OH,Older American,29-07-2015,Closed with explanation,Yes,No,0
30-10-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Stellar Recovery, Inc.",MN,Servicemember,30-10-2016,Closed with explanation,Yes,No,0
16-03-2016,Debt collection,Payday loan,Taking/threatening an illegal action,responds  only to consumer,"Global Asset Management Group, Inc.",TX,Servicemember,29-04-2016,Closed with explanation,Yes,No,174.09
26-02-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Pinnacle Credit Services, LLC",TN,Servicemember,28-03-2016,Closed with explanation,Yes,No,122.66
23-09-2015,Debt collection,Credit card,Taking/threatening an illegal action,Acted by contract/law,"Pressler & Pressler, LLP",PA,Older American,23-09-2015,Closed with explanation,Yes,No,0
16-02-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,The Receivable Management Services LLC,CO,"Older American, Servicemember",26-03-2017,Closed with non-monetary relief,Yes,No,119.92
18-02-2016,Debt collection,Mortgage,Taking/threatening an illegal action,Acted by contract/law,NATIONSTAR MORTGAGE LLC,NC,Servicemember,22-02-2016,Closed with explanation,Yes,Yes,15.83
15-04-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,"GOLD KEY CREDIT, INC.",CA,"Older American, Servicemember",15-04-2017,Closed with non-monetary relief,Yes,No,0
16-04-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"First National Collection Bureau, Inc.",CO,Older American,20-04-2015,Closed with explanation,Yes,No,15.84
17-09-2016,Debt collection,Credit card,Communication tactics,Acted by contract/law,Messerli & Kramer P.A.,ND,Older American,17-09-2016,Closed with explanation,Yes,No,0
09-07-2015,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Acted by contract/law,ERC,CA,Servicemember,15-07-2015,Closed with non-monetary relief,Yes,No,6.69
09-12-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Misunderstanding,"HW Holding, Inc",OH,Servicemember,18-01-2017,Closed with non-monetary relief,Yes,No,158.26
25-08-2016,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Acted by contract/law,"Applied Business Services, Inc.",OR,Servicemember,29-08-2016,Closed with explanation,Yes,No,15.84
16-03-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,Third party action,"Capital Management Services, LP",FL,Older American,16-03-2016,Closed with explanation,Yes,No,0
09-03-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,ERC,OH,Servicemember,13-03-2017,Closed,Yes,No,15.83
18-05-2015,Debt collection,Medical,Disclosure verification of debt,Acted by contract/law,Senex Services Corp.,TN,Servicemember,18-05-2015,Closed with explanation,Yes,No,0
02-05-2015,Debt collection,Federal student loan,False statements or representation,Acted by contract/law,"Newman, Mathis, Brady & Spedale",LA,Servicemember,14-05-2015,Closed with explanation,Yes,No,47.49
20-02-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,Acted by contract/law,Allen & Withrow,AR,Older American,29-02-2016,Closed with explanation,Yes,No,35.6
16-02-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Credit Protection Association, L.P.",UT,Older American,16-02-2017,Closed with non-monetary relief,Yes,No,0
16-12-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,"GOLD KEY CREDIT, INC.",FL,Servicemember,16-12-2016,Closed with non-monetary relief,Yes,No,0
12-03-2016,Debt collection,Credit card,Taking/threatening an illegal action,responds  only to consumer,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,Older American,12-03-2016,Closed with explanation,Yes,Yes,0
02-06-2015,Student loan,Non-federal student loan,Can't repay my loan,No public response provided,WELLS FARGO & COMPANY,IL,Servicemember,02-06-2015,Closed with explanation,Yes,No,0
11-10-2016,Debt collection,Credit card,Communication tactics,responds  only to consumer,WELLS FARGO & COMPANY,CO,Older American,14-10-2016,Closed with non-monetary relief,No,No,11.88
02-12-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"The CMI Group, Inc.",VA,Servicemember,07-12-2015,Closed with explanation,Yes,No,19.8
16-03-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"Debt Recovery Solutions, LLC",SC,Servicemember,16-03-2017,Closed with explanation,Yes,No,0
07-03-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,ERC,CA,Servicemember,07-03-2017,Closed,Yes,No,0
20-01-2016,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Misunderstanding,"AR Resources, Inc. (FL)",PA,Servicemember,20-01-2016,Closed with explanation,Yes,No,0
03-09-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Third party action,"Credit Bureau of Traverse City, Inc.(Closed)",MI,Older American,03-09-2015,Closed with explanation,No,No,0
16-03-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,responds  only to consumer,"JH Portfolio Debt Equities, LLC",TX,Older American,16-03-2017,Closed with explanation,Yes,No,0
19-10-2016,Debt collection,Mortgage,False statements or representation,responds  only to consumer,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,Servicemember,21-10-2016,Closed with explanation,Yes,Yes,7.9
13-12-2016,Debt collection,Credit card,Disclosure verification of debt,responds  only to consumer,SYNCHRONY FINANCIAL,CA,Servicemember,13-12-2016,Closed with explanation,Yes,Yes,0
30-03-2015,Student loan,Non-federal student loan,Dealing with my lender or servicer,No public response provided,IOWA STUDENT LOAN LIQUIDITY CORPORATION,IA,Servicemember,30-03-2015,Closed with explanation,Yes,No,0
07-02-2017,Debt collection,Credit card,Taking/threatening an illegal action,Acted by contract/law,"Pressler & Pressler, LLP",NJ,"Older American, Servicemember",07-02-2017,Closed with explanation,Yes,No,0
18-05-2016,Debt collection,Payday loan,False statements or representation,responds  only to consumer,Cottonwood Financial Ltd.,TX,Older American,18-05-2016,Closed with explanation,Yes,No,0
15-04-2017,Student loan,Federal student loan servicing,Dealing with my lender or servicer,responds  only to consumer,Utah System of Higher Education,UT,Older American,17-04-2017,Closed with explanation,Yes,No,7.92
13-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,responds  only to consumer,SYNCHRONY FINANCIAL,AZ,Older American,14-04-2017,Closed with monetary relief,Yes,No,3.93
13-04-2017,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Isolated error,Ditech Financial LLC,OR,Older American,13-04-2017,Closed with explanation,Yes,No,0
13-04-2017,Debt collection,Credit card,Taking/threatening an illegal action,responds  only to consumer,"Mandarich Law Group, LLP",IL,"Older American, Servicemember",14-04-2017,Closed with explanation,Yes,No,3.93
11-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,ERC,MD,Servicemember,11-04-2017,Closed,Yes,No,0
11-01-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,No public response provided,IQOR US INC,NY,Servicemember,11-01-2016,Closed with non-monetary relief,Yes,No,0
20-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,LJ Ross Associates,PA,Servicemember,09-05-2017,Closed with explanation,Yes,No,75.17
11-04-2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,Acted by contract/law,Perfection Collection,GA,Servicemember,11-04-2017,Closed,Yes,No,0
12-04-2017,Debt collection,Credit card,False statements or representation,Acted by contract/law,Perfection Collection,GA,Servicemember,12-04-2017,Closed,Yes,No,0
14-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,company disputing complaint,ERC,CT,Older American,14-04-2017,Closed with non-monetary relief,Yes,No,0
16-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"Convergent Resources, Inc.",SC,Servicemember,16-04-2017,Closed with explanation,Yes,No,0
14-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,"McCarthy, Burgess & Wolff, Inc.",NJ,Servicemember,14-04-2017,Closed with explanation,Yes,No,0
15-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,responds  only to consumer,"I.C. System, Inc.",TX,Older American,15-04-2017,Closed with explanation,Yes,No,0
12-04-2017,Debt collection,Credit card,False statements or representation,responds  only to consumer,Army and Air Force Exchange Service,TX,Servicemember,12-04-2017,Closed with explanation,Yes,No,0
18-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,Monterey Financial Services LLC,VA,Servicemember,18-04-2017,Closed with explanation,Yes,No,0
17-04-2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,Acted by contract/law,Perfection Collection,GA,Servicemember,17-04-2017,Closed,Yes,No,0
13-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Misunderstanding,"HW Holding, Inc",VA,Servicemember,13-04-2017,Closed with explanation,Yes,No,0
17-04-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,TENET HEALTHCARE CORPORATION,TX,"Older American, Servicemember",17-04-2017,Closed with explanation,Yes,No,0
21-04-2017,Debt collection,Credit card,Taking/threatening an illegal action,responds  only to consumer,Army and Air Force Exchange Service,MD,Servicemember,21-04-2017,Closed with explanation,Yes,No,0
03-03-2017,Debt collection,Federal student loan,Disclosure verification of debt,Acted by contract/law,UNITED STUDENT LOAN SOLUTIONS,MI,Older American,21-04-2017,Closed with explanation,Yes,No,163.44
13-04-2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,responds  only to consumer,"JH Portfolio Debt Equities, LLC",NC,Servicemember,13-04-2017,Closed with explanation,Yes,No,0
10-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,responds  only to consumer,"Allied Collection Services, Inc. (Nevada)",CA,Servicemember,12-04-2017,Closed with explanation,Yes,No,7.91
10-04-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Third party action,"Professional Recovery Consultants, Inc.",NC,Servicemember,11-04-2017,Closed with explanation,Yes,No,3.95
29-03-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"Aargon Agency, Inc.",NV,Servicemember,12-04-2017,Closed with explanation,Yes,No,55.39
02-04-2017,Debt collection,Credit card,Communication tactics,company disputing complaint,Convergys,FL,Older American,05-06-2017,Closed with explanation,Yes,No,253.24
22-07-2015,Debt collection,Payday loan,Communication tactics,Acted by contract/law,"CASHCALL, INC.",OK,Older American,22-07-2015,Closed with explanation,Yes,No,0
17-07-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Third party action,MIDCOUNTRY FINANCIAL CORP,SC,Servicemember,29-07-2016,Closed with explanation,Yes,No,47.48
18-11-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,company disputing complaint,"Diversified Adjustment Service, Inc.",CA,Older American,18-11-2016,Closed with explanation,Yes,Yes,0
11-04-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,responds  only to consumer,"Medical Data Systems, Inc.",GA,Servicemember,11-04-2017,Closed with explanation,Yes,Yes,0
20-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Acted by contract/law,"Nevada Credico, Inc.",NV,Older American,20-04-2017,Closed with explanation,Yes,No,0
14-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Third party action,Source Receivables Management LLC,ID,Servicemember,14-04-2017,Closed with monetary relief,Yes,No,0
17-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,company disputing complaint,ERC,FL,Servicemember,17-04-2017,Closed with non-monetary relief,Yes,No,0
17-04-2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,responds  only to consumer,WELLS FARGO & COMPANY,SD,Servicemember,17-04-2017,Closed with explanation,Yes,No,0
19-04-2017,Debt collection,Auto,Taking/threatening an illegal action,responds  only to consumer,"Altisource Portfolio Solutions, S.à r.l.",AZ,"Older American, Servicemember",20-04-2017,Closed with explanation,Yes,No,3.97
16-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,responds  only to consumer,"Credit Protection Association, L.P.",IA,Older American,16-04-2017,Closed with explanation,No,No,0
19-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,responds  only to consumer,MORGAN STANLEY & CO. LLC,TN,Servicemember,19-04-2017,Closed with explanation,Yes,No,0
14-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,ERC,GA,Servicemember,14-04-2017,Closed with explanation,Yes,No,0
14-04-2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,responds  only to consumer,WELLS FARGO & COMPANY,NY,Servicemember,17-04-2017,Closed with explanation,Yes,No,11.88
15-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,Acted by contract/law,"WESTERN CONTROL SERVICES, INC.",CO,Servicemember,15-04-2017,Closed with explanation,Yes,No,0
20-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Stellar Recovery, Inc.",VA,Servicemember,20-04-2017,Closed with explanation,Yes,No,0
13-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Third party action,"National Credit Systems,Inc.",NC,Servicemember,13-04-2017,Closed with explanation,Yes,No,0
19-04-2017,Debt collection,Credit card,Communication tactics,responds  only to consumer,"Javitch, Block & Rathbone LLC",OH,Servicemember,27-04-2017,Closed with explanation,Yes,No,31.66
14-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Third party action,"I.Q. DATA INTERNATIONAL, INC.",TX,Servicemember,14-04-2017,Closed with explanation,Yes,No,0
15-04-2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,responds  only to consumer,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,Older American,15-04-2017,Closed with explanation,Yes,No,0
11-04-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,responds  only to consumer,"Medical Data Systems, Inc.",GA,Servicemember,11-04-2017,Closed with explanation,Yes,Yes,0
17-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,responds  only to consumer,ENCORE CAPITAL GROUP INC.,NY,Servicemember,17-04-2017,Closed with non-monetary relief,Yes,No,0
14-04-2017,Debt collection,Medical,False statements or representation,Isolated error,"Choice Recovery, Inc.",FL,Servicemember,14-04-2017,Closed with explanation,Yes,No,0
19-04-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,"GOLD KEY CREDIT, INC.",IN,Servicemember,19-04-2017,Closed with non-monetary relief,Yes,No,0
26-12-2016,Debt collection,Medical,Disclosure verification of debt,Misunderstanding,"Kansas Counselors, Inc.",SC,Servicemember,26-12-2016,Closed with explanation,Yes,No,0
21-04-2017,Debt collection,Credit card,False statements or representation,responds  only to consumer,"CITIBANK, N.A.",NH,Older American,21-04-2017,Closed with monetary relief,Yes,No,0
18-04-2017,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Third party action,"Brelvis Consulting, LLC",CA,Older American,18-04-2017,Closed with monetary relief,Yes,No,0
19-04-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,responds  only to consumer,"I.C. System, Inc.",CA,Servicemember,19-04-2017,Closed with explanation,Yes,No,0
03-04-2017,Debt collection,Non-federal student loan,False statements or representation,Acted by contract/law,Financial Business and Consumer Solutions.,VA,"Older American, Servicemember",03-04-2017,Closed with explanation,Yes,Yes,0
13-03-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,Financial Business and Consumer Solutions.,OR,Servicemember,13-03-2016,Closed with explanation,Yes,No,0
13-10-2015,Debt collection,Non-federal student loan,Disclosure verification of debt,Acted by contract/law,Financial Business and Consumer Solutions.,GA,Older American,13-10-2015,Closed with explanation,Yes,No,0
20-05-2015,Debt collection,Credit card,Taking/threatening an illegal action,Acted by contract/law,"SUN FINANCE COMPANY, LLC",LA,Servicemember,20-05-2015,Closed with explanation,Yes,No,0
14-12-2015,Debt collection,Credit card,Disclosure verification of debt,Acted by contract/law,Army and Air Force Exchange Service,GU,"Older American, Servicemember",14-12-2015,Closed with explanation,Yes,Yes,0
21-09-2016,Student loan,Non-federal student loan,Dealing with my lender or servicer,Third party action,Genesis Lending,WA,Servicemember,21-09-2016,Closed with explanation,Yes,Yes,0
16-09-2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Third party action,"Medical Society Business Services, Inc.",AZ,Servicemember,16-09-2015,Closed with explanation,Yes,No,0
24-12-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,company disputing complaint,"Diversified Adjustment Service, Inc.",MD,Servicemember,24-12-2015,Closed with explanation,Yes,No,0
03-11-2015,Debt collection,Non-federal student loan,Disclosure verification of debt,Acted by contract/law,Financial Business and Consumer Solutions.,GA,Older American,03-11-2015,Closed with explanation,Yes,No,0
28-06-2016,Debt collection,Mortgage,Taking/threatening an illegal action,Acted by contract/law,"SELECT PORTFOLIO SERVICING, INC.",GA,Older American,28-06-2016,Closed with explanation,Yes,No,0
